20

0	65	11	30	79	30	62	18	17	17	34	23	61	53	84	53	35	40	22	27	
51	0	69	73	83	82	11	48	56	55	64	44	81	24	100	59	79	24	31	30	
9	60	0	36	71	18	77	25	19	22	29	30	60	65	65	52	28	49	37	38	
31	72	27	0	42	28	57	19	14	20	2	18	30	55	41	19	24	47	35	40	
78	67	72	39	0	65	72	52	45	56	34	56	32	56	13	19	47	66	77	77	
32	80	18	24	65	0	84	34	29	35	28	37	39	74	68	50	17	56	47	48	
57	10	66	57	67	88	0	41	54	41	49	44	76	15	68	51	75	21	35	27	
19	56	26	21	46	36	48	0	4	0	16	3	61	46	56	31	41	29	22	21	
21	54	21	15	54	25	49	3	0	4	14	6	50	49	53	27	32	30	29	24	
18	51	24	18	54	35	49	0	4	0	20	3	61	45	49	29	41	28	22	22	
37	71	34	1	36	24	57	18	16	21	0	17	37	49	35	18	24	44	47	40	
25	49	26	17	52	36	38	4	7	4	17	0	59	45	49	29	43	24	24	22	
72	83	59	32	38	46	82	60	47	61	37	56	0	85	27	39	32	68	75	67	
55	29	60	53	62	84	13	44	52	52	61	38	89	0	57	45	69	29	42	40	
81	88	74	44	10	58	69	50	50	55	41	50	26	67	0	25	54	69	91	72	
55	65	50	24	22	43	56	31	30	33	21	32	34	40	26	0	45	43	53	44	
39	90	33	24	58	17	79	32	34	40	20	32	30	84	47	38	0	66	57	52	
33	24	50	46	66	50	22	23	26	25	44	21	82	25	73	48	58	0	19	12	
21	33	29	42	67	52	36	23	23	19	36	22	67	52	89	58	60	16	0	6	
29	26	34	41	62	59	35	25	29	20	39	20	77	40	69	43	65	15	5	0	

0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	4	47	0	0	80	0	0	
80	0	0	0	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	18	0	74	0	0	0	0	82	0	0	0	0	92	
45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	11	0	0	0	0	0	0	11	0	0	0	0	0	0	0	27	0	80	
0	0	0	58	0	0	0	2	0	0	0	0	26	78	0	0	0	0	45	6	
0	0	9	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1	0	0	0	0	0	54	4	0	95	0	0	0	0	0	0	66	0	18	0	
0	63	20	0	0	69	0	0	0	0	12	0	0	0	0	0	0	0	0	75	
0	0	0	0	0	0	0	0	0	0	0	49	0	0	0	76	0	0	77	94	
52	0	88	0	0	0	74	0	0	0	0	0	0	0	31	0	0	32	0	0	
94	0	76	0	0	0	52	0	0	0	0	93	0	0	0	0	0	38	0	0	
0	0	42	0	0	0	0	17	0	0	30	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	63	91	0	0	0	0	0	0	0	48	0	0	34	27	
0	0	64	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	
61	0	0	0	33	0	0	68	62	26	0	0	26	0	0	59	0	0	48	0	
61	0	0	0	0	0	0	0	0	0	0	0	0	0	84	0	18	0	0	0	
18	0	0	0	0	0	4	68	0	0	69	0	5	22	0	0	0	85	0	3	
0	0	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	80	0	
