20

0	18	21	53	24	53	45	50	49	50	28	45	53	23	56	48	38	28	43	22	
21	0	21	40	40	27	19	53	34	26	17	30	40	14	31	36	32	17	29	22	
24	26	0	62	43	36	44	76	22	31	21	37	62	34	58	62	15	20	50	6	
46	40	55	0	64	53	34	34	67	58	55	45	31	28	24	19	70	52	22	52	
23	40	55	58	0	81	57	43	66	71	63	78	78	40	78	45	72	47	72	57	
49	33	35	63	84	0	17	70	17	3	17	9	30	51	38	74	25	17	30	29	
48	23	38	37	56	18	0	59	33	17	19	10	18	36	18	54	41	18	14	38	
50	47	82	30	43	85	56	0	76	72	74	65	72	38	62	14	100	74	55	70	
42	29	24	74	66	15	30	79	0	14	16	23	46	50	48	83	8	18	50	16	
44	31	32	54	75	2	16	68	13	0	13	10	33	39	40	69	20	13	31	25	
31	18	17	51	63	16	23	77	16	11	0	17	44	36	36	56	16	3	34	14	
55	28	37	51	78	9	11	77	27	10	20	0	25	36	26	58	34	17	23	33	
69	43	67	31	80	36	20	74	56	34	40	25	0	43	5	56	51	44	16	60	
23	15	39	26	38	49	34	37	49	47	33	36	48	0	36	22	54	32	30	35	
62	38	63	25	86	33	17	64	49	31	37	24	5	43	0	50	63	40	11	54	
52	36	62	17	41	60	49	14	65	58	50	60	58	26	43	0	64	56	37	58	
37	36	14	72	56	27	37	98	10	20	17	29	65	51	61	68	0	17	58	13	
30	13	17	48	58	20	18	59	16	16	3	18	37	30	42	46	19	0	33	14	
47	25	51	24	65	36	17	48	53	37	31	28	14	27	12	39	59	35	0	51	
29	25	6	59	48	32	39	65	16	25	14	32	61	41	47	69	12	15	48	0	

0	44	0	68	16	36	35	83	0	10	0	12	0	74	22	69	0	0	77	0	
0	0	0	90	52	85	69	0	77	0	84	56	17	51	98	0	17	29	0	51	
97	76	0	62	44	31	0	75	0	32	90	49	61	83	31	0	92	25	5	0	
81	39	45	0	31	53	0	51	42	0	0	0	7	4	0	97	5	89	0	71	
66	19	44	85	0	64	48	0	72	0	0	93	99	24	79	0	87	45	5	81	
85	29	86	32	1	0	0	0	0	5	85	57	58	43	7	7	0	89	16	0	
99	0	32	83	0	96	0	2	19	12	39	32	89	0	3	82	68	0	68	0	
0	14	0	11	33	0	52	0	0	34	73	0	94	0	47	42	0	91	10	0	
62	0	47	94	31	56	88	25	0	0	0	26	3	0	19	0	0	0	41	94	
88	25	51	58	44	86	21	48	0	0	9	0	37	20	32	97	0	75	0	0	
0	56	93	32	41	10	17	95	45	0	0	34	0	67	36	12	0	16	0	72	
0	27	15	1	59	0	54	0	0	0	94	0	62	64	87	45	0	77	89	0	
0	0	0	23	32	6	52	0	53	0	64	4	0	54	70	0	59	10	81	0	
0	95	21	51	0	64	42	0	0	5	90	76	60	0	0	19	19	42	0	0	
65	75	0	65	12	0	13	0	18	36	39	38	19	68	0	3	16	71	73	99	
12	41	0	54	76	98	0	38	0	86	66	19	58	79	24	0	71	89	43	4	
85	50	39	10	73	0	2	19	0	78	9	99	25	32	0	75	0	50	99	0	
39	99	0	99	39	0	95	37	0	36	68	0	0	63	28	0	58	0	47	98	
78	46	74	0	35	0	72	0	9	51	0	34	82	4	0	0	51	89	0	0	
85	27	74	95	26	96	0	85	95	93	66	81	76	0	44	85	65	21	30	0	
